bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.0142,11.7402,0.8145538737,0.8145538737
12.635,12.361,0.2545508862,0.2545508862
12.1623,11.8883,0.8273102968,0.8273102968
12.172,11.898,0.8273102968,0.8273102968
12.4032,12.1292,0.2545508862,0.2545508862
11.6524,11.3784,0.7493676559,0.7493676559
11.9196,11.6456,0.683444533,0.683444533
12.0797,11.8057,0.3333997212,0.3333997212
12.1134,11.8394,0.3333997212,0.3333997212
12.1815,11.9075,0.254869548,0.254869548
11.7893,11.5153,0.2703893647,0.2703893647
11.7858,11.5118,0.2703893647,0.2703893647
12.3586,12.0846,0.7051732722,0.7051732722
12.3535,12.0795,0.7051732722,0.7051732722
12.9606,12.6866,0.1793069109,0.1793069109
12.9657,12.6917,0.1793069109,0.1793069109
12.264,11.99,0.6794761999,0.6794761999
12.2811,12.0071,0.6794761999,0.6794761999
12.5211,12.2471,0.2486158136,0.2486158136
12.5231,12.2491,0.2486158136,0.2486158136
13.0704,12.7964,0.1823989246,0.1823989246
13.0855,12.8115,0.1823989246,0.1823989246
12.1639,11.8899,0.7099681339,0.7099681339
12.1916,11.9176,0.7099681339,0.7099681339
11.8735,11.5995,0.6537193786,0.6537193786
11.9119,11.6379,0.6537193786,0.6537193786
12.3883,12.1143,0.1324935272,0.1324935272
12.4008,12.1268,0.1324935272,0.1324935272
12.6726,12.3986,0.0925014937,0.0925014937
12.6644,12.3904,0.0925014937,0.0925014937
12.1006,11.8266,0.9812039435,0.9812039435
12.0987,11.8247,0.9812039435,0.9812039435
11.8483,11.5743,0.4635779724,0.4635779724
11.8535,11.5795,0.4635779724,0.4635779724
11.8753,11.6013,0.950453097,0.950453097
11.8192,11.5452,0.4313134834,0.4313134834
11.827,11.553,0.4313134834,0.4313134834
11.8834,11.6094,0.950453097,0.950453097
12.1436,11.8696,0.4118253336,0.4118253336
12.1405,11.8665,0.4118253336,0.4118253336
11.8489,11.5749,0.9536845251,0.9536845251
11.8523,11.5783,0.9536845251,0.9536845251
12.1382,11.8642,0.9032214698,0.9032214698
12.1752,11.9012,0.9032214698,0.9032214698
12.0104,11.7364,0.8776438956,0.8776438956
12.2322,11.9582,0.8776438956,0.8776438956
11.9639,11.6899,0.8583200559,0.8583200559
12.2152,11.9412,0.8583200559,0.8583200559
11.9002,11.6262,0.3640061742,0.3640061742
11.8255,11.5515,0.3640061742,0.3640061742
11.6439,11.3699,0.8569259111,0.8569259111
11.9422,11.6682,0.8569259111,0.8569259111
12.5719,12.2979,0.7996116312,0.7996116312
12.5553,12.2813,0.7996116312,0.7996116312
12.8332,12.5592,0.2999502091,0.2999502091
13.1343,12.8603,0.2999502091,0.2999502091
12.7728,12.4988,0.2999502091,0.2999502091
12.11,11.836,0.8854013144,0.8854013144
12.0322,11.7582,0.8854013144,0.8854013144
12.3022,12.0282,0.3874676359,0.3874676359
12.2793,12.0053,0.3874676359,0.3874676359
11.791,11.517,0.8398974306,0.8398974306
11.8341,11.5601,0.8398974306,0.8398974306
12.1367,11.8627,0.0174965145,0.0174965145
12.0571,11.7831,0.5230282812,0.5230282812
12.0203,11.7463,0.5230282812,0.5230282812
12.1198,11.8458,0.0174965145,0.0174965145
12.9433,12.6693,0.2298197569,0.2298197569
12.9389,12.6649,0.2298197569,0.2298197569
11.9084,11.6344,0.7982921729,0.7982921729
12.1143,11.8403,0.7982921729,0.7982921729
12.7265,12.4525,0.2327375024,0.2327375024
12.6732,12.3992,0.2327375024,0.2327375024
12.1358,11.8618,0.2675612428,0.2675612428
12.8952,12.6212,0.4949213095,0.4949213095
12.8924,12.6184,0.4949213095,0.4949213095
12.3798,12.1058,0.2499800836,0.2499800836
12.0774,11.8034,0.2675612428,0.2675612428
12.4412,12.1672,0.2499800836,0.2499800836
12.6652,12.3912,0.2258315078,0.2258315078
12.6019,12.3279,0.2258315078,0.2258315078
12.961,12.687,0.2087084247,0.2087084247
12.9231,12.6491,0.2087084247,0.2087084247
13.0537,12.7797,0.1913363871,0.1913363871
13.0851,12.8111,0.1913363871,0.1913363871
12.3618,12.0878,0.248575981,0.248575981
12.3666,12.0926,0.248575981,0.248575981
12.9754,12.7014,0.2099531966,0.2099531966
12.9838,12.7098,0.2099531966,0.2099531966
12.4735,12.1995,0.1233469428,0.1233469428
12.4748,12.2008,0.1233469428,0.1233469428
12.5148,12.2408,0.1073043221,0.1073043221
11.8526,11.5786,0.132309301,0.132309301
11.8624,11.5884,0.132309301,0.132309301
12.5184,12.2444,0.1073043221,0.1073043221
