"row_id","jd_mid","bmag","plate_id","filename_preview"
"1","2435936.60672","11.2042","9421","GS00876_pre.jpg"
"2","2435952.56858","11.0516","9473","GS00930_pre.jpg"
"3","2435952.56858","10.9862","9473","GS00930_pre.jpg"
"4","2435952.58174","11.046","9474","GS00931_pre.jpg"
"5","2435936.60672","11.1585","9421","GS00876_pre.jpg"
"6","2435952.59559","10.9214","9475","GS00932_pre.jpg"
"7","2435952.59559","11.0182","9475","GS00932_pre.jpg"
"8","2435952.58174","11.0906","9474","GS00931_pre.jpg"
"9","2435979.49105","10.848","9528","GS00987_pre.jpg"
"10","2435979.50196","10.8263","9529","GS00988_pre.jpg"
"11","2435979.49105","10.8734","9528","GS00987_pre.jpg"
"12","2435979.50196","10.8276","9529","GS00988_pre.jpg"
"13","2435984.51584","11.0208","9542","GS01001_pre.jpg"
"14","2435984.51584","10.9877","9542","GS01001_pre.jpg"
"15","2435985.46255","11.5505","9545","GS01004_pre.jpg"
"16","2435985.46255","11.59","9545","GS01004_pre.jpg"
"17","2435985.4764","11.5913","9546","GS01005_pre.jpg"
"18","2435985.4764","11.6408","9546","GS01005_pre.jpg"
"19","2435985.48748","12.2041","9547","GS01006_pre.jpg"
"20","2435985.48748","11.7228","9547","GS01006_pre.jpg"
"21","2435985.49926","11.513","9548","GS01007_pre.jpg"
"22","2435985.49926","11.5065","9548","GS01007_pre.jpg"
"23","2435985.51103","11.5838","9549","GS01008_pre.jpg"
"24","2435985.51103","11.5439","9549","GS01008_pre.jpg"
"25","2435989.50547","10.8567","9553","GS01012_pre.jpg"
"26","2435989.50547","10.8538","9553","GS01012_pre.jpg"
"27","2435990.48699","11.0751","9557","GS01016_pre.jpg"
"28","2435990.48699","11.1186","9557","GS01016_pre.jpg"
"29","2435990.49946","11.0462","9558","GS01017_pre.jpg"
"30","2435990.49946","10.9741","9558","GS01017_pre.jpg"
"31","2436133.28629","11.4967","9637","GS01133_pre.jpg"
"32","2436133.28629","11.5241","9637","GS01133_pre.jpg"
"33","2436133.30049","11.5311","9638","GS01134_pre.jpg"
"34","2436133.30049","11.5218","9638","GS01134_pre.jpg"
"35","2436136.24387","11.1298","9640","GS01136_pre.jpg"
"36","2436136.24387","11.0822","9640","GS01136_pre.jpg"
"37","2425532.3108","10.9841","17665","S04023_pre.jpg"
"38","2423612.5337","11.0491","992","LA01171_pre.jpg"
"39","2423612.5337","11.0933","992","LA01171_pre.jpg"
"40","2425097.50751","10.9912","1814","LA02048_pre.jpg"
"41","2425524.83751","11.0221","2180","LA02426_pre.jpg"
"42","2425524.83751","10.9884","2180","LA02426_pre.jpg"
"43","2425530.33946","10.9406","2184","LA02430_pre.jpg"
"44","2425530.33946","10.7868","2184","LA02430_pre.jpg"
"45","2425530.30033","10.7784","2183","LA02429_pre.jpg"
"46","2425530.30033","10.7704","2183","LA02429_pre.jpg"
"47","2425853.38659","10.8496","2429","LA02687_pre.jpg"
"48","2425853.38659","10.9019","2429","LA02687_pre.jpg"
"49","2425892.34797","11.0632","2499","LA02757_pre.jpg"
"50","2425892.34797","11.0426","2499","LA02757_pre.jpg"
"51","2425937.28916","11.004","2569","LA02826_pre.jpg"
"52","2425937.28916","11.03","2569","LA02826_pre.jpg"
"53","2438673.30625","11.2953","11616","GS03326_pre.jpg"
"54","2438673.30625","11.2814","11616","GS03326_pre.jpg"
"55","2426178.50062","11.0331","2883","LA03143_pre.jpg"
"56","2426178.50062","11.0211","2883","LA03143_pre.jpg"
"57","2426267.29569","11.1165","2947","LA03211_pre.jpg"
"58","2426267.29569","11.1734","2947","LA03211_pre.jpg"
"59","2438999.4972","11.1088","11827","GS03541_pre.jpg"
"60","2438999.4972","11.0183","11827","GS03541_pre.jpg"
"61","2426578.4568","11.2754","3193","LA03441_pre.jpg"
"62","2426578.4568","11.2381","3193","LA03441_pre.jpg"
"63","2426595.36553","10.9987","3208","LA03456_pre.jpg"
"64","2426595.36553","11.0185","3208","LA03456_pre.jpg"
"65","2428072.31933","11.5334","4346","LA04640_pre.jpg"
"66","2428072.31933","11.5551","4346","LA04640_pre.jpg"
"67","2428074.42729","11.6611","4351","LA04645_pre.jpg"
"68","2428074.42729","11.7195","4351","LA04645_pre.jpg"
"69","2428081.46374","10.9784","4363","LA04657_pre.jpg"
"70","2428094.34168","11.0015","4367","LA04661_pre.jpg"
"71","2428094.34168","10.9425","4367","LA04661_pre.jpg"
